group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
arabic,burst-dynamic,,,,5229302007.0,ns,1
arabic,burst-dynamic,,,,5244000896.0,ns,1
arabic,burst-dynamic,,,,5342512124.0,ns,1
arabic,burst-dynamic,,,,5225085830.0,ns,1
arabic,burst-dynamic,,,,5226274086.0,ns,1
arabic,burst-dynamic,,,,5265614436.0,ns,1
arabic,burst-dynamic,,,,5268967785.0,ns,1
arabic,burst-dynamic,,,,5244797318.0,ns,1
arabic,burst-dynamic,,,,5226921019.0,ns,1
arabic,burst-dynamic,,,,5203895738.0,ns,1
arabic,burst-dynamic,,,,5275234052.0,ns,1
arabic,burst-dynamic,,,,5316437542.0,ns,1
arabic,burst-dynamic,,,,5244381183.0,ns,1
arabic,burst-dynamic,,,,5219918395.0,ns,1
arabic,burst-dynamic,,,,5334612951.0,ns,1
arabic,burst-dynamic,,,,5257107119.0,ns,1
arabic,burst-dynamic,,,,5367252849.0,ns,1
arabic,burst-dynamic,,,,5316169447.0,ns,1
arabic,burst-dynamic,,,,5640299457.0,ns,1
arabic,burst-dynamic,,,,5274692615.0,ns,1
arabic,burst-dynamic,,,,5287299181.0,ns,1
arabic,burst-dynamic,,,,5412235150.0,ns,1
arabic,burst-dynamic,,,,5304758166.0,ns,1
arabic,burst-dynamic,,,,5276291723.0,ns,1
arabic,burst-dynamic,,,,5305101968.0,ns,1
arabic,burst-dynamic,,,,5291491195.0,ns,1
arabic,burst-dynamic,,,,5270781568.0,ns,1
arabic,burst-dynamic,,,,5210175440.0,ns,1
arabic,burst-dynamic,,,,5208885482.0,ns,1
arabic,burst-dynamic,,,,5223906492.0,ns,1
arabic,burst-dynamic,,,,5230495153.0,ns,1
arabic,burst-dynamic,,,,5195306828.0,ns,1
