group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
arabic,burst-dynamic,,,,5367331959.0,ns,1
arabic,burst-dynamic,,,,5292709870.0,ns,1
arabic,burst-dynamic,,,,5299798901.0,ns,1
arabic,burst-dynamic,,,,5279113288.0,ns,1
arabic,burst-dynamic,,,,5362152498.0,ns,1
arabic,burst-dynamic,,,,5323622006.0,ns,1
arabic,burst-dynamic,,,,5302021123.0,ns,1
arabic,burst-dynamic,,,,5306377159.0,ns,1
arabic,burst-dynamic,,,,5329803146.0,ns,1
arabic,burst-dynamic,,,,5299413307.0,ns,1
arabic,burst-dynamic,,,,5274074311.0,ns,1
arabic,burst-dynamic,,,,5339783406.0,ns,1
arabic,burst-dynamic,,,,5311459631.0,ns,1
arabic,burst-dynamic,,,,5335237691.0,ns,1
arabic,burst-dynamic,,,,5340040432.0,ns,1
arabic,burst-dynamic,,,,5321764719.0,ns,1
arabic,burst-dynamic,,,,5348608168.0,ns,1
arabic,burst-dynamic,,,,5340716276.0,ns,1
arabic,burst-dynamic,,,,5305308946.0,ns,1
arabic,burst-dynamic,,,,5302918561.0,ns,1
arabic,burst-dynamic,,,,5301351134.0,ns,1
arabic,burst-dynamic,,,,5355268438.0,ns,1
arabic,burst-dynamic,,,,5329036980.0,ns,1
arabic,burst-dynamic,,,,5327666426.0,ns,1
arabic,burst-dynamic,,,,5383311604.0,ns,1
arabic,burst-dynamic,,,,5356940368.0,ns,1
arabic,burst-dynamic,,,,5319089849.0,ns,1
arabic,burst-dynamic,,,,5333014885.0,ns,1
arabic,burst-dynamic,,,,5329125458.0,ns,1
arabic,burst-dynamic,,,,5280381978.0,ns,1
arabic,burst-dynamic,,,,5343344687.0,ns,1
arabic,burst-dynamic,,,,5428755430.0,ns,1
