group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
arabic,burst-v1,,,,5472622425.0,ns,1
arabic,burst-v1,,,,5487930611.0,ns,1
arabic,burst-v1,,,,5571083489.0,ns,1
arabic,burst-v1,,,,5637964114.0,ns,1
arabic,burst-v1,,,,5491589554.0,ns,1
arabic,burst-v1,,,,5523096819.0,ns,1
arabic,burst-v1,,,,5528668514.0,ns,1
arabic,burst-v1,,,,5535104804.0,ns,1
arabic,burst-v1,,,,5539470941.0,ns,1
arabic,burst-v1,,,,5950280918.0,ns,1
arabic,burst-v1,,,,5511318906.0,ns,1
arabic,burst-v1,,,,5505103546.0,ns,1
arabic,burst-v1,,,,5495265514.0,ns,1
arabic,burst-v1,,,,5506407233.0,ns,1
arabic,burst-v1,,,,5470596581.0,ns,1
arabic,burst-v1,,,,5532087644.0,ns,1
arabic,burst-v1,,,,5531108037.0,ns,1
arabic,burst-v1,,,,5961126504.0,ns,1
arabic,burst-v1,,,,5573479871.0,ns,1
arabic,burst-v1,,,,5541591882.0,ns,1
arabic,burst-v1,,,,5604947825.0,ns,1
arabic,burst-v1,,,,5569885648.0,ns,1
arabic,burst-v1,,,,5476743138.0,ns,1
arabic,burst-v1,,,,5485935283.0,ns,1
arabic,burst-v1,,,,5500040403.0,ns,1
arabic,burst-v1,,,,5496125267.0,ns,1
arabic,burst-v1,,,,5490299431.0,ns,1
arabic,burst-v1,,,,5867823022.0,ns,1
arabic,burst-v1,,,,5504827611.0,ns,1
arabic,burst-v1,,,,5481921368.0,ns,1
arabic,burst-v1,,,,5621485687.0,ns,1
arabic,burst-v1,,,,5523718488.0,ns,1
