group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
arabic,burst-v1,,,,5476349127.0,ns,1
arabic,burst-v1,,,,5693695611.0,ns,1
arabic,burst-v1,,,,5525657049.0,ns,1
arabic,burst-v1,,,,5728405802.0,ns,1
arabic,burst-v1,,,,5537014268.0,ns,1
arabic,burst-v1,,,,5512728063.0,ns,1
arabic,burst-v1,,,,5570954794.0,ns,1
arabic,burst-v1,,,,6049635225.0,ns,1
arabic,burst-v1,,,,5622850108.0,ns,1
arabic,burst-v1,,,,5597320722.0,ns,1
arabic,burst-v1,,,,5539973469.0,ns,1
arabic,burst-v1,,,,5788948316.0,ns,1
arabic,burst-v1,,,,5874531136.0,ns,1
arabic,burst-v1,,,,5576665300.0,ns,1
arabic,burst-v1,,,,5618435555.0,ns,1
arabic,burst-v1,,,,5511361762.0,ns,1
arabic,burst-v1,,,,5534397791.0,ns,1
arabic,burst-v1,,,,5550151599.0,ns,1
arabic,burst-v1,,,,5985586546.0,ns,1
arabic,burst-v1,,,,5536969275.0,ns,1
arabic,burst-v1,,,,5532245374.0,ns,1
arabic,burst-v1,,,,5577732513.0,ns,1
arabic,burst-v1,,,,5543672697.0,ns,1
arabic,burst-v1,,,,5818312374.0,ns,1
arabic,burst-v1,,,,5578524849.0,ns,1
arabic,burst-v1,,,,5628540886.0,ns,1
arabic,burst-v1,,,,6014819285.0,ns,1
arabic,burst-v1,,,,5527387213.0,ns,1
arabic,burst-v1,,,,5767441188.0,ns,1
arabic,burst-v1,,,,5581178419.0,ns,1
arabic,burst-v1,,,,5591916693.0,ns,1
arabic,burst-v1,,,,5523575698.0,ns,1
