group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
arabic,std::stable,,,,8185189400.0,ns,1
arabic,std::stable,,,,8198902227.0,ns,1
arabic,std::stable,,,,8212095028.0,ns,1
arabic,std::stable,,,,8212755616.0,ns,1
arabic,std::stable,,,,8240773795.0,ns,1
arabic,std::stable,,,,8250043415.0,ns,1
arabic,std::stable,,,,8200994258.0,ns,1
arabic,std::stable,,,,8149509627.0,ns,1
arabic,std::stable,,,,8248033702.0,ns,1
arabic,std::stable,,,,8426992115.0,ns,1
arabic,std::stable,,,,8273502220.0,ns,1
arabic,std::stable,,,,8293375972.0,ns,1
arabic,std::stable,,,,8205285576.0,ns,1
arabic,std::stable,,,,8242979570.0,ns,1
arabic,std::stable,,,,8220508411.0,ns,1
arabic,std::stable,,,,8207120856.0,ns,1
arabic,std::stable,,,,8251951934.0,ns,1
arabic,std::stable,,,,8282258495.0,ns,1
arabic,std::stable,,,,8249364494.0,ns,1
arabic,std::stable,,,,8228187362.0,ns,1
arabic,std::stable,,,,8260231396.0,ns,1
arabic,std::stable,,,,8265126186.0,ns,1
arabic,std::stable,,,,8285754581.0,ns,1
arabic,std::stable,,,,8171747621.0,ns,1
arabic,std::stable,,,,8188648343.0,ns,1
arabic,std::stable,,,,8172366260.0,ns,1
arabic,std::stable,,,,8257588455.0,ns,1
arabic,std::stable,,,,8261639204.0,ns,1
arabic,std::stable,,,,8239009762.0,ns,1
arabic,std::stable,,,,8167367540.0,ns,1
arabic,std::stable,,,,8149397006.0,ns,1
arabic,std::stable,,,,8114176411.0,ns,1
