group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
arabic,std::unstable,,,,11208500832.0,ns,1
arabic,std::unstable,,,,11707790030.0,ns,1
arabic,std::unstable,,,,11653282186.0,ns,1
arabic,std::unstable,,,,10758490913.0,ns,1
arabic,std::unstable,,,,11209340367.0,ns,1
arabic,std::unstable,,,,11055386466.0,ns,1
arabic,std::unstable,,,,10504208588.0,ns,1
arabic,std::unstable,,,,11424546670.0,ns,1
arabic,std::unstable,,,,11531633846.0,ns,1
arabic,std::unstable,,,,11059896014.0,ns,1
arabic,std::unstable,,,,11641482579.0,ns,1
arabic,std::unstable,,,,10665476748.0,ns,1
arabic,std::unstable,,,,10662146498.0,ns,1
arabic,std::unstable,,,,11584329289.0,ns,1
arabic,std::unstable,,,,11063991507.0,ns,1
arabic,std::unstable,,,,10530933978.0,ns,1
arabic,std::unstable,,,,10744137744.0,ns,1
arabic,std::unstable,,,,10872838813.0,ns,1
arabic,std::unstable,,,,11119240273.0,ns,1
arabic,std::unstable,,,,11363600305.0,ns,1
arabic,std::unstable,,,,11344627733.0,ns,1
arabic,std::unstable,,,,11580509613.0,ns,1
arabic,std::unstable,,,,10323648333.0,ns,1
arabic,std::unstable,,,,10419592418.0,ns,1
arabic,std::unstable,,,,11132035696.0,ns,1
arabic,std::unstable,,,,11355356464.0,ns,1
arabic,std::unstable,,,,10966878150.0,ns,1
arabic,std::unstable,,,,11860484870.0,ns,1
arabic,std::unstable,,,,11197004696.0,ns,1
arabic,std::unstable,,,,10506151337.0,ns,1
arabic,std::unstable,,,,10666963413.0,ns,1
arabic,std::unstable,,,,11188490839.0,ns,1
