group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
english,burst-dynamic,,,,3493839739.0,ns,1
english,burst-dynamic,,,,3468576603.0,ns,1
english,burst-dynamic,,,,3461351990.0,ns,1
english,burst-dynamic,,,,3507111329.0,ns,1
english,burst-dynamic,,,,3488259593.0,ns,1
english,burst-dynamic,,,,3506279202.0,ns,1
english,burst-dynamic,,,,3476842133.0,ns,1
english,burst-dynamic,,,,3526073762.0,ns,1
english,burst-dynamic,,,,3499823323.0,ns,1
english,burst-dynamic,,,,3508921337.0,ns,1
english,burst-dynamic,,,,3523695657.0,ns,1
english,burst-dynamic,,,,3561788959.0,ns,1
english,burst-dynamic,,,,3490219133.0,ns,1
english,burst-dynamic,,,,3495146022.0,ns,1
english,burst-dynamic,,,,3484559538.0,ns,1
english,burst-dynamic,,,,3478082398.0,ns,1
english,burst-dynamic,,,,3477356204.0,ns,1
english,burst-dynamic,,,,3489583808.0,ns,1
english,burst-dynamic,,,,3469865118.0,ns,1
english,burst-dynamic,,,,3578873550.0,ns,1
english,burst-dynamic,,,,3483944763.0,ns,1
english,burst-dynamic,,,,3480052379.0,ns,1
english,burst-dynamic,,,,3454123491.0,ns,1
english,burst-dynamic,,,,3510998396.0,ns,1
english,burst-dynamic,,,,3461055633.0,ns,1
english,burst-dynamic,,,,3450786660.0,ns,1
english,burst-dynamic,,,,3489063312.0,ns,1
english,burst-dynamic,,,,3485575602.0,ns,1
english,burst-dynamic,,,,3475519359.0,ns,1
english,burst-dynamic,,,,3522789347.0,ns,1
english,burst-dynamic,,,,3613340478.0,ns,1
english,burst-dynamic,,,,3499912337.0,ns,1
