group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
english,burst-dynamic,,,,3564201431.0,ns,1
english,burst-dynamic,,,,3567833856.0,ns,1
english,burst-dynamic,,,,3609314452.0,ns,1
english,burst-dynamic,,,,3560373333.0,ns,1
english,burst-dynamic,,,,3550365299.0,ns,1
english,burst-dynamic,,,,3559856168.0,ns,1
english,burst-dynamic,,,,3562921438.0,ns,1
english,burst-dynamic,,,,3560458092.0,ns,1
english,burst-dynamic,,,,3560353190.0,ns,1
english,burst-dynamic,,,,3558525090.0,ns,1
english,burst-dynamic,,,,3551111923.0,ns,1
english,burst-dynamic,,,,3580389048.0,ns,1
english,burst-dynamic,,,,3563509171.0,ns,1
english,burst-dynamic,,,,3566449931.0,ns,1
english,burst-dynamic,,,,3634985283.0,ns,1
english,burst-dynamic,,,,3647275387.0,ns,1
english,burst-dynamic,,,,3565055556.0,ns,1
english,burst-dynamic,,,,3599717735.0,ns,1
english,burst-dynamic,,,,3565707033.0,ns,1
english,burst-dynamic,,,,3590089966.0,ns,1
english,burst-dynamic,,,,3611068712.0,ns,1
english,burst-dynamic,,,,3574856880.0,ns,1
english,burst-dynamic,,,,3747148921.0,ns,1
english,burst-dynamic,,,,3563683244.0,ns,1
english,burst-dynamic,,,,3560579184.0,ns,1
english,burst-dynamic,,,,3557564825.0,ns,1
english,burst-dynamic,,,,3546152201.0,ns,1
english,burst-dynamic,,,,3584210562.0,ns,1
english,burst-dynamic,,,,3560176557.0,ns,1
english,burst-dynamic,,,,3596408960.0,ns,1
english,burst-dynamic,,,,3578552569.0,ns,1
english,burst-dynamic,,,,3556975482.0,ns,1
