group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
random-long,burst-dynamic,,,,3928561468.0,ns,1
random-long,burst-dynamic,,,,3822314486.0,ns,1
random-long,burst-dynamic,,,,3836148381.0,ns,1
random-long,burst-dynamic,,,,3780500458.0,ns,1
random-long,burst-dynamic,,,,3933023510.0,ns,1
random-long,burst-dynamic,,,,3877499919.0,ns,1
random-long,burst-dynamic,,,,3855969157.0,ns,1
random-long,burst-dynamic,,,,4003382197.0,ns,1
random-long,burst-dynamic,,,,4039495954.0,ns,1
random-long,burst-dynamic,,,,3883833634.0,ns,1
random-long,burst-dynamic,,,,3868669550.0,ns,1
random-long,burst-dynamic,,,,3886680458.0,ns,1
random-long,burst-dynamic,,,,4145885511.0,ns,1
random-long,burst-dynamic,,,,3848325432.0,ns,1
random-long,burst-dynamic,,,,3880186635.0,ns,1
random-long,burst-dynamic,,,,3983167674.0,ns,1
random-long,burst-dynamic,,,,3772793267.0,ns,1
random-long,burst-dynamic,,,,3767664606.0,ns,1
random-long,burst-dynamic,,,,3786600749.0,ns,1
random-long,burst-dynamic,,,,3775218090.0,ns,1
random-long,burst-dynamic,,,,3834837903.0,ns,1
random-long,burst-dynamic,,,,3778180775.0,ns,1
random-long,burst-dynamic,,,,3772565181.0,ns,1
random-long,burst-dynamic,,,,3783153903.0,ns,1
random-long,burst-dynamic,,,,3828247559.0,ns,1
random-long,burst-dynamic,,,,3975859198.0,ns,1
random-long,burst-dynamic,,,,3777685388.0,ns,1
random-long,burst-dynamic,,,,3909946084.0,ns,1
random-long,burst-dynamic,,,,3860081549.0,ns,1
random-long,burst-dynamic,,,,3897412265.0,ns,1
random-long,burst-dynamic,,,,3888175788.0,ns,1
random-long,burst-dynamic,,,,3972525862.0,ns,1
